study_id,source,source_file,doi,title,year,first_author,journal,doc_type
SRDT00001,ieee,EXTENDED_IEEE,10.1109/ICIMIBD58123.2022.00037,AGV Dynamic Scheduling and Path Planning Algorithm Based on 5G Technology in Intelligent Factory,2022,j. chen,2022 International Conference on Intelligent Manufacturing and Industrial Big Data (ICIMIBD),CONF
SRDT00002,scopus,EXTENDED_Scopus,10.1109/WCMEIM54377.2021.00073,Multi AGV simulation system of intelligent workshop based on Digital Twin,2021,"wang, s.","Proceedings - 2021 4th World Conference on Mechanical Engineering and Intelligent Manufacturing, WCMEIM 2021",CONF
SRDT00003,ieee,EXTENDED_IEEE,10.1109/WSC.2018.8632202,CHALLENGES AND OPPORTUNITIES IN INTEGRATION OF SIMULATION AND OPTIMIZATION IN MARITIME LOGISTICS,2018,c. zhou,2018 Winter Simulation Conference (WSC),CONF
SRDT00004,ieee,EXTENDED_IEEE,10.1109/SMC42975.2020.9282816,Container Terminal Liner Berthing Time Prediction with Computational Logistics and Deep Learning,2020,b. li,"2020 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",CONF
SRDT00005,scopus,EXTENDED_Scopus,10.1109/ICBAIE52039.2021.9389884,Development Direction of Automated Terminal and Systematic Planning of Smart Port,2021,"yao, h.","2021 IEEE 2nd International Conference on Big Data, Artificial Intelligence and Internet of Things Engineering, ICBAIE 2021",CONF
SRDT00006,scopus,EXTENDED_Scopus,10.1109/ICTIS68762.2025.11214970,Cyber-Physical System Technology for Optimizing Port Berth Scheduling: Modeling and Methodology,2025,"zhu, m.","8th International Conference on Transportation Information and Safety: Transportation + Artificial Intelligence and Green Energy: Making a Sustainable World, ICTIS 2025",CONF
SRDT00007,scopus,EXTENDED_Scopus,10.1109/ICNSC66229.2025.00036,MIMO-Inspired Real-Time Scheduling of Port Transport Equipment: A Simulation-Optimization Approach Incorporating Reinforcement Learning,2025,"zhu, s.","Proceedings - 2025 International Conference on Networking, Sensing and Control, ICNSC 2025",CONF
SRDT00008,ieee,EXTENDED_IEEE,10.1109/EPEE67527.2025.11428729,Research on Optimization Scheduling Method for Port Electric Logistics Container Trucks,2025,y. wang,"2025 5th International Conference on Energy, Power and Electrical Engineering (EPEE)",CONF
SRDT00009,scopus,T7_Scopus,10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics50389.2020.00106,Research on Reliability-Centered Maintenance Strategy of Container Terminal Shore Crane,2020,"zhang, h.","Proceedings - IEEE Congress on Cybermatics: 2020 IEEE International Conferences on Internet of Things, iThings 2020, IEEE Green Computing and Communications, GreenCom 2020, IEEE Cyber, Physical and Social Computing, CPSCom 2020 and IEEE Smart Data, SmartData 2020",CONF
SRDT00010,scopus,EXTENDED_Scopus,10.1109/ICPHM65385.2025.11062040,Research of Digital Twin-based Monitoring and Simulation System of Port Portal Cranes for PHM,2025,"dong, x.","2025 IEEE International Conference on Prognostics and Health Management, ICPHM 2025",CONF
SRDT00011,scopus,EXTENDED_Scopus,10.1109/CASE56687.2023.10260497,Digital Twin Enhanced Reinforcement Learning for Integrated Scheduling in Automated Container Terminals,2023,"zhang, y.",IEEE International Conference on Automation Science and Engineering,CONF
SRDT00012,ieee,EXTENDED_IEEE,10.1109/CASE59546.2024.10711769,Protocol Model and Execution Protocols for Networked MRO Intralogistics *,2024,q. chen,2024 IEEE 20th International Conference on Automation Science and Engineering (CASE),CONF
SRDT00013,scopus,EXTENDED_Scopus,10.1109/ISSMAS65783.2025.11102937,AGV Vehicle Dynamics Optimization in Automated Logistics Warehousing Systems,2025,"hong, f.","2025 11th International Symposium on Sensors, Mechatronics and Automation System, ISSMAS 2025",CONF
SRDT00014,scopus,EXTENDED_Scopus,10.1109/MARIS64137.2025.11139495,Automated container vessel docking: From Anchorage to Dock,2025,"amditis, a.","2025 Symposium on Maritime Informatics and Robotics, MARIS 2025",CONF
SRDT00015,scopus,EXTENDED_Scopus,10.1109/CASE59546.2024.10711351,Digital twin system for automated container terminal and a case study,2024,"bao, x.",IEEE International Conference on Automation Science and Engineering,CONF
SRDT00016,scopus,EXTENDED_Scopus,10.1109/ACCESS.2024.3354838,Digital Twin-Enabled Smart Maritime Logistics Management in the Context of Industry 5.0,2024,"zhou, f.",IEEE Access,JOUR
SRDT00017,scopus,EXTENDED_Scopus,10.1109/ITMS52826.2021.9615313,Development of an Intelligent Digital Twins Framework for Secure Container Terminal Operations,2021,"jakovlev, s.","ITMS 2021 - 2021 62nd International Scientific Conference on Information Technology and Management Science of Riga Technical University, Proceedings",CONF
