file,total_records,valid_records,bad_lines,missing_TY,missing_TI,missing_ER,missing_AB,missing_DO,missing_PY,missing_AU,file_level_errors,status
EXTENDED_IEEE.ris,1118,1118,0,0,0,0,1,12,0,0,0,OK
EXTENDED_Scopus.ris,1518,1518,0,0,0,0,0,64,0,2,0,OK
GS.ris,650,650,0,0,0,0,4,501,29,0,0,OK
PRIMARY_IEEE.ris,50,50,0,0,0,0,0,0,0,0,0,OK
PRIMARY_Scopus.ris,130,130,0,0,0,0,0,8,0,1,0,OK
SPRINGER.ris,905,905,0,0,0,0,534,0,0,2,0,OK
T1_IEEE.ris,53,53,0,0,0,0,0,0,0,0,0,OK
T1_Scopus.ris,180,180,0,0,0,0,0,14,0,0,0,OK
T2_IEEE.ris,154,154,0,0,0,0,0,12,0,19,0,OK
T2_Scopus.ris,246,246,0,0,0,0,0,21,0,0,0,OK
T3_IEEE.ris,135,135,0,0,0,0,0,1,0,0,0,OK
T3_Scopus.ris,422,422,0,0,0,0,0,5,0,0,0,OK
T4_IEEE.ris,10,10,0,0,0,0,0,0,0,0,0,OK
T4_Scopus.ris,54,54,0,0,0,0,0,1,0,1,0,OK
T5_IEEE.ris,54,54,0,0,0,0,0,0,0,0,0,OK
T5_Scopus.ris,34,34,0,0,0,0,0,0,0,0,0,OK
T6_IEEE.ris,110,110,0,0,0,0,0,0,0,0,0,OK
T6_Scopus.ris,345,345,0,0,0,0,0,16,0,0,0,OK
T7_IEEE.ris,246,246,0,0,0,0,1,1,0,0,0,OK
T7_Scopus.ris,483,483,0,0,0,0,0,32,0,0,0,OK
T8_IEEE.ris,13,13,0,0,0,0,0,0,0,0,0,OK
T8_Scopus.ris,8,8,0,0,0,0,8,1,0,0,16,WARN
TF.ris,928,928,0,0,0,0,928,0,0,7,0,OK
